Rk,Player,Tm,Pos,From,To,Active,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS
31,Chris Wideman\widemch01,OTT,D,2015,2018,3,153,14,22,36,15,86,10,4,0,3,230,6.1,2112,0.09,0.14,0.24,1.50,2.9,5.2,8.1
32,Ryan White\whitery01,TOT,C,2015,2017,2,138,20,12,32,-25,185,17,3,0,1,148,13.5,1610,0.14,0.09,0.23,1.07,1.3,0.8,2.0
33,Colin White\whiteco02,OTT,C,2016,2017,1,2,0,0,0,0,0,0,0,0,0,1,0.0,27,0.00,0.00,0.00,0.50,-0.1,0.0,0.0
34,Blake Wheeler\wheelbl01,WPG,RW,2015,2018,3,178,57,116,173,21,110,44,9,4,11,561,10.2,3569,0.32,0.65,0.97,3.15,15.6,4.3,19.9
35,Zach Werenski\werenza01,CBJ,D,2016,2018,2,94,15,42,57,25,16,10,5,0,1,234,6.4,1994,0.16,0.45,0.61,2.49,5.5,5.8,11.3
36,Alexander Wennberg\wennbal01,CBJ,C,2015,2018,3,165,22,86,108,11,27,19,3,0,7,231,9.5,2865,0.13,0.52,0.65,1.40,6.6,3.4,10.0
37,Jeremy Welsh\welshje01,STL,C,2015,2016,1,2,0,0,0,0,2,0,0,0,0,0,,17,0.00,0.00,0.00,0.00,0.0,0.0,0.0
38,Dale Weise\weiseda01,TOT,RW,2015,2018,3,148,24,21,45,5,71,20,4,0,3,244,9.8,1913,0.16,0.14,0.30,1.65,2.2,2.4,4.7
39,MacKenzie Weegar\weegama01,FLA,D,2016,2018,2,8,1,0,1,0,4,1,0,0,0,7,14.3,121,0.13,0.00,0.13,0.88,0.0,0.2,0.2
40,Yannick Weber\weberya01,TOT,D,2015,2018,3,129,1,16,17,-16,53,1,0,0,1,143,0.7,1844,0.01,0.12,0.13,1.11,-0.3,2.8,2.5
41,Shea Weber\webersh01,TOT,D,2015,2018,3,172,40,64,104,7,69,12,28,0,6,421,9.5,4355,0.23,0.37,0.60,2.45,10.6,10.5,21.2
42,Mike Weber\webermi01,TOT,D,2015,2016,1,45,1,4,5,2,60,1,0,0,0,40,2.5,697,0.02,0.09,0.11,0.89,-0.2,1.9,1.7
43,Jordan Weal\wealjo01,TOT,C,2015,2018,3,51,10,8,18,4,12,8,2,0,1,76,13.2,649,0.20,0.16,0.35,1.49,1.2,0.9,2.1
44,Austin Watson\watsoau01,NSH,LW,2015,2018,3,149,9,20,29,13,149,9,0,0,0,157,5.7,1719,0.06,0.13,0.19,1.05,-0.5,2.4,1.9
45,David Warsofsky\warsoda01,TOT,D,2015,2017,2,29,1,2,3,-12,8,0,1,0,0,54,1.9,487,0.03,0.07,0.10,1.86,-0.2,0.0,-0.2
46,Joel Ward\wardjo02,SJS,RW,2015,2018,3,166,33,41,74,-20,62,24,6,3,6,249,13.3,2692,0.20,0.25,0.45,1.50,4.3,2.5,6.8
47,Lucas Wallmark\wallmlu01,CAR,C,2016,2017,1,8,0,2,2,1,2,0,0,0,0,11,0.0,87,0.00,0.25,0.25,1.38,0.0,0.2,0.1
48,Nathan Walker\walkena01,WSH,LW,2017,2018,1,6,1,0,1,2,2,1,0,0,0,4,25.0,56,0.17,0.00,0.17,0.67,0.0,0.1,0.2
49,Chris Wagner\wagnech01,TOT,RW/C,2015,2018,3,102,12,8,20,3,36,11,0,1,1,119,10.1,1044,0.12,0.08,0.20,1.17,0.5,1.4,1.9
50,Radim Vrbata\vrbatra01,TOT,RW,2015,2018,3,158,36,56,92,-49,38,26,10,0,4,470,7.7,2585,0.23,0.35,0.58,2.97,6.8,1.0,7.8
51,Jakub Vrana\vranaja01,WSH,LW,2016,2018,2,37,6,6,12,2,2,3,3,0,3,68,8.8,455,0.16,0.16,0.32,1.84,0.6,0.5,1.1
52,Jakub Voracek\voracja01,PHI,RW,2015,2018,3,171,35,102,137,-22,108,29,6,0,6,518,6.8,3231,0.20,0.60,0.80,3.03,9.7,2.9,12.6
53,Marc-Edouard Vlasic\vlasima01,SJS,D,2015,2018,3,155,15,56,71,21,83,11,4,0,2,283,5.3,3424,0.10,0.36,0.46,1.83,5.2,9.7,14.9
54,Joe Vitale\vitaljo01,ARI,C,2015,2016,1,1,0,0,0,1,5,0,0,0,0,1,0.0,6,0.00,0.00,0.00,1.00,0.0,0.0,0.0
55,Jake Virtanen\virtaja01,VAN,RW,2015,2018,3,80,9,9,18,-3,47,8,1,0,2,133,6.8,883,0.11,0.11,0.23,1.66,0.5,1.0,1.5
56,Linden Vey\veyli01,TOT,RW,2015,2017,2,45,4,11,15,-16,6,1,3,0,0,41,9.8,690,0.09,0.24,0.33,0.91,0.2,0.2,0.4
57,Jimmy Vesey\veseyji02,NYR,LW,2016,2018,2,97,20,12,32,-15,30,15,5,0,7,148,13.5,1330,0.21,0.12,0.33,1.53,1.9,0.6,2.6
58,Kris Versteeg\verstkr01,TOT,RW,2015,2018,3,162,32,48,80,-8,93,21,11,0,5,325,9.8,2418,0.20,0.30,0.49,2.01,5.5,2.8,8.3
59,Joel Vermin\vermijo01,TBL,RW,2015,2017,2,24,0,4,4,3,4,0,0,0,0,13,0.0,252,0.00,0.17,0.17,0.54,-0.3,0.4,0.2
60,Antoine Vermette\vermean01,TOT,C,2015,2018,3,164,29,43,72,-29,151,17,11,1,4,242,12.0,2674,0.18,0.26,0.44,1.48,3.8,1.8,5.7
61,Mike Vecchione\vecchmi01,PHI,RW,2016,2017,1,2,0,0,0,-1,0,0,0,0,0,1,0.0,17,0.00,0.00,0.00,0.50,0.0,0.0,-0.1
62,Frank Vatrano\vatrafr01,BOS,C,2015,2018,3,94,19,11,30,-6,34,15,4,0,2,231,8.2,1159,0.20,0.12,0.32,2.46,2.3,1.1,3.4
63,Sami Vatanen\vatansa01,ANA,D,2015,2018,3,148,13,51,64,5,54,7,6,0,2,263,4.9,3175,0.09,0.34,0.43,1.78,4.7,8.3,12.9
64,Phil Varone\varonph01,TOT,C,2015,2017,2,13,1,2,3,-1,4,1,0,0,0,3,33.3,107,0.08,0.15,0.23,0.23,0.2,0.1,0.3
65,Thomas Vanek\vanekth01,TOT,LW,2015,2018,3,158,40,58,98,-13,56,28,12,0,7,311,12.9,2349,0.25,0.37,0.62,1.97,8.7,2.4,11.1
66,Chris VandeVelde\vandech01,PHI,C,2015,2017,2,160,8,21,29,-12,43,7,0,1,0,146,5.5,2007,0.05,0.13,0.18,0.91,-1.5,1.9,0.4
67,Trevor van Riemsdyk\vanritr01,TOT,D,2015,2018,3,150,8,23,31,13,62,8,0,0,3,172,4.7,2863,0.05,0.15,0.21,1.15,0.8,6.9,7.6
68,James van Riemsdyk\vanrija01,TOR,LW,2015,2018,3,138,49,53,102,-6,51,36,13,0,5,409,12.0,2235,0.36,0.38,0.74,2.96,10.5,2.0,12.5
69,Rinat Valiev\valieri01,TOR,D,2015,2016,1,10,0,0,0,0,0,0,0,0,0,7,0.0,123,0.00,0.00,0.00,0.70,-0.2,0.3,0.1
70,Scottie Upshall\upshasc01,STL,RW,2015,2018,3,160,17,21,38,2,99,15,0,2,3,212,8.0,1762,0.11,0.13,0.24,1.33,1.1,2.2,3.3
71,R.J. Umberger\umberrj01,PHI,C,2015,2016,1,39,2,9,11,1,15,1,1,0,0,48,4.2,396,0.05,0.23,0.28,1.23,0.3,0.5,0.8
72,Fedor Tyutin\tyutife01,TOT,D,2015,2017,2,130,2,14,16,-31,66,2,0,0,0,71,2.8,2380,0.02,0.11,0.12,0.55,-1.0,2.9,1.9
73,T.J. Tynan\tynant.01,CBJ,RW,2016,2017,1,3,0,0,0,-1,0,0,0,0,0,3,0.0,22,0.00,0.00,0.00,1.00,-0.1,0.0,-0.1
74,Kyle Turris\turriky01,OTT,C,2015,2018,3,146,43,51,94,-21,81,32,11,0,8,333,12.9,2860,0.29,0.35,0.64,2.28,7.3,2.0,9.3
75,Alex Tuch\tuchal01,TOT,RW,2016,2018,2,17,4,3,7,1,6,2,2,0,0,34,11.8,225,0.24,0.18,0.41,2.00,0.5,0.2,0.7
76,Nikita Tryamkin\tryamni01,VAN,D,2015,2017,2,79,3,8,11,-10,74,3,0,0,0,76,3.9,1333,0.04,0.10,0.14,0.96,-0.1,2.6,2.5
77,Jacob Trouba\troubja01,WPG,D,2015,2018,3,155,14,46,60,13,122,11,2,1,1,320,4.4,3597,0.09,0.30,0.39,2.06,3.7,7.1,10.8
78,Zach Trotman\trotmza01,TOT,D,2015,2018,2,41,2,5,7,0,22,2,0,0,0,66,3.0,743,0.05,0.12,0.17,1.61,0.1,1.4,1.5
79,Corey Tropp\troppco01,ANA,RW,2016,2017,1,1,0,0,0,-1,0,0,0,0,0,0,,9,0.00,0.00,0.00,0.00,0.0,0.0,-0.1
80,Vincent Trocheck\trochvi01,FLA,C,2015,2018,3,172,55,68,123,2,91,44,8,3,8,443,12.4,3352,0.32,0.40,0.72,2.58,10.3,3.9,14.2
81,Jordin Tootoo\tootojo01,TOT,RW,2015,2017,2,116,6,6,12,-32,130,4,2,0,0,133,4.5,1098,0.05,0.05,0.10,1.15,-1.0,0.1,-0.9
82,Sergey Tolchinsky\tolchse01,CAR,LW,2015,2017,2,4,0,2,2,1,0,0,0,0,0,3,0.0,47,0.00,0.50,0.50,0.75,0.1,0.1,0.2
83,Tyler Toffoli\toffoty01,LAK,C,2015,2018,3,161,55,50,105,46,42,39,15,1,8,435,12.6,2724,0.34,0.31,0.65,2.70,10.1,5.3,15.4
84,Jonathan Toews\toewsjo01,CHI,C,2015,2018,3,168,53,73,126,28,113,36,13,4,13,422,12.6,3312,0.32,0.43,0.75,2.51,10.5,4.6,15.1
85,Jiri Tlusty\tlustji01,NJD,LW,2015,2016,1,30,2,2,4,-1,6,1,1,0,0,38,5.3,411,0.07,0.07,0.13,1.27,-0.5,0.6,0.1
86,Matthew Tkachuk\tkachma01,CGY,LW,2016,2018,2,92,17,42,59,15,119,13,4,0,3,187,9.1,1375,0.18,0.46,0.64,2.03,4.2,2.3,6.5
87,Owen Tippett\tippeow01,FLA,RW,2017,2018,1,7,1,0,1,-6,0,1,0,0,0,17,5.9,78,0.14,0.00,0.14,2.43,0.0,-0.2,-0.2
88,Jarred Tinordi\tinorja01,TOT,D,2015,2016,1,10,0,0,0,-5,17,0,0,0,0,3,0.0,143,0.00,0.00,0.00,0.30,-0.2,-0.1,-0.3
89,Viktor Tikhonov\tikhovi01,TOT,RW,2015,2016,1,50,3,3,6,-10,20,1,2,0,1,41,7.3,572,0.06,0.06,0.12,0.82,-0.6,0.2,-0.4
90,Chris Tierney\tiernch01,SJS,C,2015,2018,3,173,20,28,48,-15,26,16,2,2,4,201,10.0,2408,0.12,0.16,0.28,1.16,0.7,2.4,3.1
91,Shawn Thornton\thornsh01,FLA,LW,2015,2017,2,100,3,6,9,-9,147,3,0,0,0,100,3.0,819,0.03,0.06,0.09,1.00,-0.9,0.6,-0.4
92,Joe Thornton\thornjo01,SJS,C,2015,2018,3,175,28,114,142,29,123,18,10,0,6,220,12.7,3183,0.16,0.65,0.81,1.26,9.8,5.3,15.0
93,Chris Thorburn\thorbch01,TOT,RW,2015,2018,3,154,9,8,17,-11,183,7,0,2,2,110,8.2,1339,0.06,0.05,0.11,0.71,-0.8,0.9,0.1
94,Ben Thomson\thomsbe01,NJD,LW,2016,2017,1,3,0,0,0,-4,4,0,0,0,0,7,0.0,33,0.00,0.00,0.00,2.33,-0.1,-0.1,-0.2
95,Tage Thompson\thompta01,STL,C,2017,2018,1,4,0,0,0,-3,4,0,0,0,0,3,0.0,40,0.00,0.00,0.00,0.75,-0.1,-0.1,-0.2
96,Paul Thompson\thomppa02,TOT,RW,2015,2017,2,24,0,3,3,-4,24,0,0,0,0,22,0.0,203,0.00,0.13,0.13,0.92,-0.2,0.1,-0.1
97,Nate Thompson\thompna01,TOT,C,2015,2018,3,93,7,6,13,9,63,5,0,2,0,73,9.6,1076,0.08,0.06,0.14,0.78,-0.9,1.6,0.7
98,Christian Thomas\thomach01,TOT,LW,2015,2016,1,6,0,2,2,1,2,0,0,0,0,9,0.0,54,0.00,0.33,0.33,1.50,0.1,0.1,0.2
99,Shea Theodore\theodsh01,TOT,D,2015,2018,3,56,5,13,18,0,30,2,3,0,2,91,5.5,997,0.09,0.23,0.32,1.63,1.3,2.4,3.8
100,Chris Terry\terrych01,TOT,LW,2015,2017,2,82,10,5,15,-13,20,10,0,0,0,93,10.8,905,0.12,0.06,0.18,1.13,0.3,0.7,0.9
101,Teuvo Teravainen\teravte01,TOT,C/LW,2015,2018,3,172,31,53,84,-7,36,23,8,0,5,331,9.4,2719,0.18,0.31,0.49,1.92,5.1,3.0,8.1
102,Matt Tennyson\tennyma01,TOT,D,2015,2018,3,88,1,9,10,-20,14,0,1,0,0,83,1.2,1158,0.01,0.10,0.11,0.94,-0.2,1.1,0.9
103,John Tavares\tavarjo01,NYI,C,2015,2018,3,170,73,81,154,12,80,54,17,2,9,560,13.0,3438,0.43,0.48,0.91,3.29,15.6,3.9,19.5
104,Tomas Tatar\tatarto01,DET,LW,2015,2018,3,180,50,47,97,-8,59,37,13,0,9,374,13.4,2874,0.28,0.26,0.54,2.08,8.3,3.3,11.6
105,Vladimir Tarasenko\tarasvl01,STL,RW,2015,2018,3,179,87,82,169,21,53,64,23,0,16,650,13.4,3338,0.49,0.46,0.94,3.63,18.9,4.7,23.7
106,Matt Taormina\taormma01,TBL,D,2015,2016,1,3,0,0,0,0,0,0,0,0,0,2,0.0,42,0.00,0.00,0.00,0.67,-0.1,0.1,0.0
107,Alex Tanguay\tangual01,TOT,LW,2015,2016,1,70,8,27,35,8,32,7,1,0,1,71,11.3,1105,0.11,0.39,0.50,1.01,1.7,1.6,3.3
108,Eric Tangradi\tangrer01,DET,LW,2015,2016,1,1,0,0,0,0,0,0,0,0,0,0,,7,0.00,0.00,0.00,0.00,0.0,0.0,0.0
109,Chris Tanev\tanevch01,VAN,D,2015,2018,3,137,8,25,33,4,24,6,2,0,1,94,8.5,2898,0.06,0.18,0.24,0.69,0.9,7.5,8.4
110,Brandon Tanev\tanevbr01,WPG,LW,2015,2018,3,68,4,3,7,-3,32,3,0,1,1,74,5.4,755,0.06,0.04,0.10,1.09,-0.9,0.5,-0.4
111,Maxime Talbot\talboma01,BOS,C,2015,2016,1,38,2,5,7,-11,15,2,0,0,1,29,6.9,426,0.05,0.13,0.18,0.76,-0.2,0.0,-0.2
112,Jordan Szwarz\szwarjo01,BOS,RW,2017,2018,1,4,0,2,2,0,0,0,0,0,0,8,0.0,49,0.00,0.50,0.50,2.00,0.1,0.1,0.1
113,Viktor Svedberg\svedbvi01,CHI,D,2015,2016,1,27,2,2,4,-5,4,2,0,0,0,40,5.0,425,0.07,0.07,0.15,1.48,0.1,0.5,0.6
114,Evgeny Svechnikov\svechev01,DET,RW,2016,2017,1,2,0,0,0,0,0,0,0,0,0,4,0.0,26,0.00,0.00,0.00,2.00,-0.1,0.0,0.0
115,Brody Sutter\suttebr05,CAR,C,2015,2016,1,8,0,0,0,-4,0,0,0,0,0,7,0.0,72,0.00,0.00,0.00,0.88,-0.2,-0.1,-0.3
116,Brandon Sutter\suttebr03,VAN,C,2015,2018,3,117,23,25,48,-16,18,17,5,1,3,230,10.0,2157,0.20,0.21,0.41,1.97,1.9,2.2,4.0
117,Ryan Suter\suterry01,MIN,D,2015,2018,3,179,19,81,100,40,70,10,7,2,4,385,4.9,4952,0.11,0.45,0.56,2.15,7.1,13.4,20.4
118,Andrej Sustr\sustran01,TBL,D,2015,2018,3,163,7,28,35,-17,79,7,0,0,2,162,4.3,2757,0.04,0.17,0.21,0.99,1.3,4.8,6.1
119,Oskar Sundqvist\sundqos01,TOT,C,2015,2018,3,43,1,5,6,-3,8,0,0,1,1,46,2.2,454,0.02,0.12,0.14,1.07,-0.5,0.3,-0.2
120,Chris Summers\summech01,NYR,D,2015,2016,1,3,0,0,0,-2,4,0,0,0,0,5,0.0,46,0.00,0.00,0.00,1.67,-0.1,-0.1,-0.2
121,P.K. Subban\subbapk01,TOT,D,2015,2018,3,149,19,83,102,-5,131,14,5,0,2,354,5.4,3783,0.13,0.56,0.68,2.38,8.7,7.6,16.3
122,Mark Stuart\stuarma01,WPG,D,2015,2017,2,106,3,4,7,-3,93,3,0,0,1,63,4.8,1569,0.03,0.04,0.07,0.59,-0.9,2.4,1.6
123,Brad Stuart\stuarbr02,COL,D,2015,2016,1,6,0,0,0,-2,0,0,0,0,0,0,,84,0.00,0.00,0.00,0.00,-0.1,0.0,-0.1
124,Ryan Strome\stromry01,TOT,RW,2015,2018,3,155,23,40,63,-21,75,19,4,0,2,277,8.3,2343,0.15,0.26,0.41,1.79,3.1,1.6,4.6
125,Dylan Strome\stromdy01,ARI,C,2016,2018,2,9,0,1,1,-5,0,0,0,0,0,9,0.0,120,0.00,0.11,0.11,1.00,-0.2,-0.1,-0.3
126,Mark Streit\streima01,TOT,D,2015,2018,3,132,12,38,50,-15,46,9,3,0,3,227,5.3,2660,0.09,0.29,0.38,1.72,3.6,4.6,8.1
127,Ben Street\streebe01,TOT,C,2015,2017,2,13,0,1,1,0,4,0,0,0,0,16,0.0,101,0.00,0.08,0.08,1.23,-0.2,0.1,0.0
128,Anton Stralman\stralan01,TBL,D,2015,2018,3,163,16,46,62,31,42,14,2,0,0,283,5.7,3639,0.10,0.28,0.38,1.74,4.2,10.4,14.6
129,Brian Strait\straibr01,TOT,D,2015,2017,2,57,1,7,8,0,31,1,0,0,0,46,2.2,882,0.02,0.12,0.14,0.81,-0.1,1.8,1.7
130,Tyson Strachan\stracty01,MIN,D,2015,2016,1,2,0,0,0,1,0,0,0,0,0,0,,15,0.00,0.00,0.00,0.00,0.0,0.1,0.1
131,Clayton Stoner\stonecl01,ANA,D,2015,2017,2,64,2,7,9,4,95,2,0,0,0,48,4.2,1014,0.03,0.11,0.14,0.75,0.0,2.9,2.9
132,Michael Stone\stonemi01,TOT,D,2015,2018,3,155,10,43,53,-9,104,9,1,0,1,262,3.8,3228,0.06,0.28,0.34,1.69,3.0,6.1,9.1
133,Mark Stone\stonema01,OTT,RW,2015,2018,3,160,54,77,131,20,63,42,11,1,7,322,16.8,3113,0.34,0.48,0.82,2.01,12.0,3.8,15.8
134,Karl Stollery\stollka01,NJD,D,2016,2017,1,11,0,3,3,-5,13,0,0,0,0,11,0.0,186,0.00,0.27,0.27,1.00,0.1,0.1,0.2
135,Jarret Stoll\stollja01,TOT,C,2015,2016,1,80,4,5,9,-1,36,4,0,0,0,49,8.2,974,0.05,0.06,0.11,0.61,-1.2,1.0,-0.2
136,Chris Stewart\stewach02,TOT,RW,2015,2018,3,150,27,22,49,6,167,25,2,0,1,185,14.6,1621,0.18,0.15,0.33,1.23,3.8,2.0,5.8
137,Chandler Stephenson\stephch02,WSH,C,2015,2018,3,20,1,3,4,2,2,1,0,0,0,7,14.3,190,0.05,0.15,0.20,0.35,0.0,0.3,0.2
138,Derek Stepan\stepade01,TOT,C,2015,2018,3,171,41,74,115,17,40,28,9,4,7,451,9.1,3150,0.24,0.43,0.67,2.64,8.6,3.8,12.4
139,Lee Stempniak\stemple01,TOT,RW,2015,2017,2,164,35,56,91,6,70,29,5,1,6,277,12.6,2771,0.21,0.34,0.55,1.69,6.4,4.0,10.5
140,Alex Steen\steenal01,STL,LW,2015,2018,3,154,34,75,109,2,103,28,5,1,4,316,10.8,3037,0.22,0.49,0.71,2.05,7.4,3.7,11.1
141,Troy Stecher\stechtr01,VAN,D,2016,2018,2,79,3,22,25,-16,32,2,1,0,0,132,2.3,1545,0.04,0.28,0.32,1.67,1.2,2.7,3.9
142,Paul Stastny\stastpa01,STL,C,2015,2018,3,147,32,69,101,10,70,24,8,0,7,258,12.4,2820,0.22,0.47,0.69,1.76,6.8,3.7,10.5
143,Ryan Stanton\stantry01,WSH,D,2015,2016,1,1,0,0,0,-1,2,0,0,0,0,0,,9,0.00,0.00,0.00,0.00,0.0,-0.1,-0.1
144,Steven Stamkos\stamkst01,TBL,C,2015,2018,3,111,53,61,114,16,60,29,23,1,10,328,16.2,2154,0.48,0.55,1.03,2.95,12.4,3.0,15.3
145,Viktor Stalberg\stalbvi01,TOT,LW,2015,2017,2,150,20,16,36,-3,63,17,1,2,2,226,8.8,1830,0.13,0.11,0.24,1.51,1.2,1.9,3.0
146,Matt Stajan\stajama01,CGY,C,2015,2018,3,173,12,28,40,-3,98,10,0,2,3,129,9.3,2185,0.07,0.16,0.23,0.75,-0.4,2.3,1.8
147,Drew Stafford\staffdr01,TOT,RW,2015,2018,3,148,34,32,66,-23,54,22,11,1,10,321,10.6,2371,0.23,0.22,0.45,2.17,4.6,1.5,6.1
148,Marc Staal\staalma01,NYR,D,2015,2018,3,166,6,22,28,9,70,6,0,0,1,148,4.1,3195,0.04,0.13,0.17,0.89,-0.2,6.3,6.1
149,Jordan Staal\staaljo01,CAR,C,2015,2018,3,170,40,60,100,7,76,28,10,2,8,351,11.4,3149,0.24,0.35,0.59,2.06,6.7,4.5,11.2
150,Eric Staal\staaler01,TOT,C,2015,2018,3,180,46,70,116,15,78,38,5,3,8,455,10.1,3347,0.26,0.39,0.64,2.53,8.6,4.2,12.8
151,Jared Spurgeon\spurgja01,MIN,D,2015,2018,3,168,23,54,77,39,38,16,7,0,5,297,7.7,3948,0.14,0.32,0.46,1.77,6.2,11.2,17.4
152,Ryan Sproul\sproury01,DET,D,2016,2017,1,27,1,6,7,-8,6,0,1,0,0,46,2.2,409,0.04,0.22,0.26,1.70,0.4,0.3,0.7
153,Daniel Sprong\spronda01,PIT,RW,2015,2016,1,18,2,0,2,-1,0,2,0,0,0,23,8.7,157,0.11,0.00,0.11,1.28,0.0,0.1,0.1
154,Ryan Spooner\spoonry01,BOS,C,2015,2018,3,163,24,65,89,-19,49,15,9,0,7,311,7.7,2377,0.15,0.40,0.55,1.91,6.2,2.0,8.1
155,Jason Spezza\spezzja01,DAL,C,2015,2018,3,158,48,70,118,-15,57,36,11,1,11,383,12.5,2535,0.30,0.44,0.75,2.42,11.6,1.9,13.5
